OBJECTID;SAMPLING;EAST;NORTH;C;Ca_exch;Mg_exch;K_exch;Na_exch
1;regular;490591,000;3123240,000;0,599;12,385;3,196;3,509;0,452
2;regular;490591,000;3123390,000;0,647;13,134;4,770;0,992;0,592
3;regular;490591,000;3123540,000;0,527;3,772;1,446;4,046;0,122
4;regular;490741,000;3123390,000;0,812;31,687;7,722;2,655;0,687
5;regular;490741,000;3123540,000;0,756;24,002;8,329;4,020;0,244
6;regular;491191,000;3122040,000;1,242;15,818;2,706;0,634;0,383
7;regular;491191,000;3123690,000;0,918;11,198;2,526;1,729;0,244
8;regular;491341,000;3121740,000;0,414;7,535;2,809;2,256;0,000
9;regular;491341,000;3121890,000;0,523;12,954;5,031;3,790;0,000
10;regular;491341,000;3122040,000;0,975;20,439;3,885;2,179;0,435
11;regular;491341,000;3122190,000;0,936;9,611;2,595;1,949;0,165
12;regular;491341,000;3122340,000;0,545;4,202;2,729;3,043;0,000
13;regular;491341,000;3122490,000;1,356;14,132;4,010;1,437;0,374
14;regular;491341,000;3122640,000;0,624;5,479;1,813;1,703;0,113
15;regular;491341,000;3123540,000;0,896;15,679;4,890;1,197;0,592
16;regular;491341,000;3123690,000;0,850;17,275;6,349;2,113;0,522
17;regular;491341,000;3123990,000;0,511;28,543;4,492;2,844;0,122
18;regular;491491,000;3121440,000;1,194;4,920;2,817;3,049;0,174
19;regular;491491,000;3121590,000;0,739;11,637;3,212;1,294;0,183
20;regular;491491,000;3121740,000;0,612;9,072;2,467;1,806;0,104
21;regular;491491,000;3122190,000;1,870;18,862;6,742;3,575;0,452
22;regular;491491,000;3122340,000;0,720;12,345;4,436;0,870;0,339
23;regular;491491,000;3122490,000;0,870;25,749;5,852;1,207;0,505
24;regular;491491,000;3122640,000;1,203;14,671;7,191;1,376;0,505
25;regular;491491,000;3122790,000;0,459;12,295;4,089;1,811;0,400
26;regular;491491,000;3122940,000;1,549;31,287;7,635;1,228;0,548
27;regular;491491,000;3123240,000;1,694;31,337;6,288;1,253;0,800
28;regular;491491,000;3123390,000;1,595;29,990;6,661;1,519;1,018
29;regular;491491,000;3123990,000;0,436;7,375;2,406;1,964;0,130
30;regular;491641,000;3121290,000;0,738;32,186;8,016;5,125;0,130
31;regular;491641,000;3121440,000;0,613;18,323;7,803;0,793;0,365
32;regular;491641,000;3121590,000;0,594;6,617;1,857;0,839;0,104
33;regular;491641,000;3122190,000;1,508;11,846;3,385;2,394;0,426
34;regular;491641,000;3122790,000;1,558;15,140;3,847;0,818;0,322
35;regular;491641,000;3122940,000;0,807;16,008;4,711;0,634;0,365
