x;y;SAGAWI
490058;3125933;12,81999969
490088;3125933;12,94999981
490118;3125933;13,31999969
490148;3125933;13,81999969
490178;3125933;14,06000042
490208;3125933;14,15999985
490238;3125933;14,21000004
490268;3125933;13,81999969
490298;3125933;13,51000023
490328;3125933;13,26000023
490358;3125933;13,10999966
490388;3125933;13,26000023
490418;3125933;13,18999958
490448;3125933;13,30000019
490478;3125933;13,28999996
490508;3125933;13,14000034
490538;3125933;13
490568;3125933;12,96000004
490598;3125933;13,02000046
490628;3125933;13,64000034
490658;3125933;13,86999989
490688;3125933;13,69999981
490718;3125933;13,77999973
490748;3125933;14,01000023
490778;3125933;14,25
490808;3125933;13,92000008
490838;3125933;13,78999996
490868;3125933;13,61999989
490898;3125933;13,61999989
490928;3125933;13,68999958
490958;3125933;13,67000008
490988;3125933;13,63000011
491018;3125933;13,59000015
491048;3125933;13,52999973
491078;3125933;13,42000008
491108;3125933;13,26000023
491138;3125933;13,35000038
491168;3125933;13,78999996
491198;3125933;14,31999969
491228;3125933;14,69999981
491258;3125933;14,98999977
491288;3125933;14,98999977
491318;3125933;15,06999969
491348;3125933;15,43999958
491378;3125933;15,14000034
491408;3125933;14,97000027
491438;3125933;14,59000015
491468;3125933;14,31999969
491498;3125933;14,18999958
491528;3125933;14,02000046
491558;3125933;13,80000019
491588;3125933;13,21000004
491618;3125933;12,85999966
491648;3125933;12,71000004
491678;3125933;12,64000034
491708;3125933;12,78999996
491738;3125933;13,06999969
491768;3125933;13,56999969
491798;3125933;13,40999985
491828;3125933;13,18000031
491858;3125933;13,07999992
491888;3125933;13,17000008
491918;3125933;13,42000008
491948;3125933;13,78999996
491978;3125933;13,47000027
492008;3125933;13,21000004
492038;3125933;13,31000042
492068;3125933;13,22000027
492098;3125933;12,85999966
492128;3125933;12,92000008
492158;3125933;13,01000023
492188;3125933;13,25
492218;3125933;13,02999973
492248;3125933;13,02999973
492278;3125933;13,47999954
492308;3125933;13,25
492338;3125933;13,01000023
492368;3125933;13,14000034
492398;3125933;13,30000019
492428;3125933;13,22000027
492458;3125933;13,18999958
492488;3125933;13,15999985
492518;3125933;13,23999977
492548;3125933;13,69999981
492578;3125933;14,02999973
492608;3125933;13,59000015
492638;3125933;13,65999985
492668;3125933;14,05000019
492698;3125933;13,94999981
492728;3125933;13,31999969
492758;3125933;13,35000038
492788;3125933;13,31999969
492818;3125933;13,53999996
492848;3125933;13,27999973
492878;3125933;12,86999989
492908;3125933;12,81000042
492938;3125933;13,15999985
492968;3125933;13,51000023
492998;3125933;13,35999966
493028;3125933;13,43000031
493058;3125933;13,43999958
493088;3125933;13,43999958
493118;3125933;13,47999954
493148;3125933;13,42000008
493178;3125933;13,27999973
493208;3125933;13,28999996
493238;3125933;13,36999989
493268;3125933;13,46000004
493298;3125933;13,55000019
493328;3125933;13,60999966
493358;3125933;13,68000031
493388;3125933;13,72000027
493418;3125933;14
493448;3125933;14,19999981
493478;3125933;14,38000011
493508;3125933;14,60999966
493538;3125933;14,65999985
493568;3125933;13,88000011
493598;3125933;13,68000031
493628;3125933;13,85000038
493658;3125933;13,96000004
493688;3125933;14,09000015
493718;3125933;14,10000038
493748;3125933;14,11999989
493778;3125933;14,42000008
493808;3125933;14,53999996
493838;3125933;14,19999981
493868;3125933;13,92000008
493898;3125933;14,14999962
493928;3125933;13,96000004
493958;3125933;14,10000038
490058;3125903;12,89999962
490088;3125903;13,02000046
490118;3125903;13,36999989
490148;3125903;13,85000038
490178;3125903;14,10000038
490208;3125903;14,19999981
490238;3125903;14,07999992
490268;3125903;13,68999958
490298;3125903;13,61999989
490328;3125903;13,38000011
490358;3125903;13,22000027
490388;3125903;13,35999966
490418;3125903;13,39000034
490448;3125903;13,51000023
490478;3125903;13,39999962
490508;3125903;13,14999962
490538;3125903;13,07999992
490568;3125903;13,02999973
490598;3125903;13,46000004
490628;3125903;14,25
490658;3125903;13,98999977
490688;3125903;13,72000027
490718;3125903;13,80000019
490748;3125903;13,89999962
490778;3125903;14,07999992
490808;3125903;14,14999962
490838;3125903;13,85999966
490868;3125903;13,68999958
490898;3125903;13,67000008
490928;3125903;13,73999977
490958;3125903;13,72999954
490988;3125903;13,71000004
491018;3125903;13,64999962
491048;3125903;13,55000019
491078;3125903;13,47999954
491108;3125903;13,39000034
491138;3125903;13,46000004
491168;3125903;13,85999966
491198;3125903;14,44999981
491228;3125903;14,88000011
491258;3125903;15,05000019
491288;3125903;15,06999969
491318;3125903;15,21000004
491348;3125903;15,46000004
491378;3125903;15,14999962
491408;3125903;14,98999977
491438;3125903;14,59000015
491468;3125903;14,21000004
491498;3125903;14,10999966
491528;3125903;13,98999977
491558;3125903;13,52000046
491588;3125903;13,02000046
491618;3125903;12,82999992
491648;3125903;12,76000023
491678;3125903;12,72000027
491708;3125903;12,86999989
491738;3125903;12,96000004
491768;3125903;13,35000038
491798;3125903;13,47000027
491828;3125903;13,28999996
491858;3125903;13,22000027
491888;3125903;13,18999958
491918;3125903;13,31000042
491948;3125903;13,71000004
491978;3125903;13,60000038
492008;3125903;13,53999996
492038;3125903;13,55000019
492068;3125903;13,34000015
492098;3125903;13,02999973
492128;3125903;13
492158;3125903;13,31000042
492188;3125903;13,39999962
492218;3125903;13,09000015
492248;3125903;12,94999981
492278;3125903;13,13000011
492308;3125903;13,27000046
492338;3125903;13,18999958
492368;3125903;13,30000019
492398;3125903;13,31999969
492428;3125903;13,25
492458;3125903;13,21000004
492488;3125903;13,22000027
492518;3125903;13,55000019
492548;3125903;14,15999985
492578;3125903;13,93000031
492608;3125903;13,61999989
492638;3125903;13,68000031
492668;3125903;13,90999985
492698;3125903;14,22999954
492728;3125903;13,72000027
492758;3125903;13,44999981
492788;3125903;13,55000019
492818;3125903;13,64000034
492848;3125903;13,35000038
492878;3125903;12,93999958
492908;3125903;12,86999989
492938;3125903;13,15999985
492968;3125903;13,34000015
492998;3125903;13,31000042
493028;3125903;13,43000031
493058;3125903;13,51000023
493088;3125903;13,56000042
493118;3125903;13,56000042
493148;3125903;13,47999954
493178;3125903;13,42000008
493208;3125903;13,44999981
493238;3125903;13,51000023
493268;3125903;13,59000015
493298;3125903;13,68000031
493328;3125903;13,76000023
493358;3125903;13,82999992
493388;3125903;13,90999985
493418;3125903;14,10999966
493448;3125903;14,27999973
493478;3125903;14,56000042
493508;3125903;14,82999992
493538;3125903;14,68999958
493568;3125903;14,03999996
493598;3125903;13,89000034
493628;3125903;13,96000004
493658;3125903;14,06000042
493688;3125903;14,18999958
493718;3125903;14,14999962
493748;3125903;14,5
493778;3125903;14,61999989
493808;3125903;14,61999989
493838;3125903;14,72999954
493868;3125903;14,28999996
493898;3125903;14,22999954
493928;3125903;14,18999958
493958;3125903;14,39000034
490058;3125873;13,07999992
490088;3125873;13,17000008
490118;3125873;13,48999977
490148;3125873;13,93999958
490178;3125873;14,17000008
490208;3125873;14,35000038
490238;3125873;14
490268;3125873;13,81999969
490298;3125873;14
490328;3125873;13,68999958
490358;3125873;13,48999977
490388;3125873;13,68000031
490418;3125873;13,81999969
490448;3125873;13,82999992
490478;3125873;13,71000004
490508;3125873;13,35000038
490538;3125873;13,27000046
490568;3125873;13,46000004
490598;3125873;14,31000042
490628;3125873;14,5
490658;3125873;13,93000031
490688;3125873;13,72000027
490718;3125873;13,80000019
490748;3125873;13,89999962
490778;3125873;13,98999977
490808;3125873;14,15999985
490838;3125873;14,27999973
490868;3125873;13,93000031
490898;3125873;13,88000011
490928;3125873;13,73999977
490958;3125873;13,73999977
490988;3125873;13,77999973
491018;3125873;13,80000019
491048;3125873;13,71000004
491078;3125873;13,67000008
491108;3125873;13,53999996
491138;3125873;13,61999989
491168;3125873;14,06999969
491198;3125873;14,76000023
491228;3125873;15,06999969
491258;3125873;15,10999966
491288;3125873;15,13000011
491318;3125873;15,13000011
491348;3125873;15,15999985
491378;3125873;15,02000046
491408;3125873;14,90999985
491438;3125873;14,60999966
491468;3125873;14,18999958
491498;3125873;13,97000027
491528;3125873;13,68999958
491558;3125873;13,31000042
491588;3125873;13,02999973
491618;3125873;13,07999992
491648;3125873;13,17000008
491678;3125873;13,21000004
491708;3125873;13,73999977
491738;3125873;13,28999996
491768;3125873;13,43999958
491798;3125873;13,64000034
491828;3125873;13,68000031
491858;3125873;13,63000011
491888;3125873;13,48999977
491918;3125873;13,44999981
491948;3125873;13,77000046
491978;3125873;14,21000004
492008;3125873;13,84000015
492038;3125873;13,68000031
492068;3125873;13,39999962
492098;3125873;13,22000027
492128;3125873;13,09000015
492158;3125873;13,13000011
492188;3125873;13,10999966
492218;3125873;13,72999954
492248;3125873;13,19999981
492278;3125873;13,06999969
492308;3125873;13,31000042
492338;3125873;13,57999992
492368;3125873;13,55000019
492398;3125873;13,64999962
492428;3125873;13,56999969
492458;3125873;13,52000046
492488;3125873;13,68000031
492518;3125873;14,17000008
492548;3125873;14,43999958
492578;3125873;13,85999966
492608;3125873;13,61999989
492638;3125873;13,68999958
492668;3125873;13,94999981
492698;3125873;14,14999962
492728;3125873;14,11999989
492758;3125873;14,18999958
492788;3125873;14,39000034
492818;3125873;14,18999958
492848;3125873;13,18999958
492878;3125873;12,86999989
492908;3125873;12,85999966
492938;3125873;13,07999992
492968;3125873;13,18999958
492998;3125873;13,35000038
493028;3125873;13,57999992
493058;3125873;13,69999981
493088;3125873;13,81999969
493118;3125873;13,85000038
493148;3125873;13,84000015
493178;3125873;13,85000038
493208;3125873;13,85000038
493238;3125873;13,89999962
493268;3125873;13,96000004
493298;3125873;14,05000019
493328;3125873;14,13000011
493358;3125873;14,31999969
493388;3125873;14,43999958
493418;3125873;14,51000023
493448;3125873;14,77000046
493478;3125873;14,96000004
493508;3125873;15,11999989
493538;3125873;15,01000023
493568;3125873;14,34000015
493598;3125873;14,15999985
493628;3125873;14,22000027
493658;3125873;14,26000023
493688;3125873;14,25
493718;3125873;14,23999977
493748;3125873;14,53999996
493778;3125873;14,60999966
493808;3125873;14,64000034
493838;3125873;14,65999985
493868;3125873;14,47999954
493898;3125873;14,36999989
493928;3125873;14,39000034
493958;3125873;14,35999966
490058;3125843;13,28999996
490088;3125843;13,39000034
490118;3125843;13,71000004
490148;3125843;14,09000015
490178;3125843;14,25
490208;3125843;14,42000008
490238;3125843;14,14999962
490268;3125843;14,09000015
490298;3125843;14,46000004
490328;3125843;13,96000004
490358;3125843;13,71000004
490388;3125843;14
490418;3125843;14,14000034
490448;3125843;14,48999977
490478;3125843;14,03999996
490508;3125843;13,42000008
490538;3125843;13,25
490568;3125843;13,65999985
490598;3125843;14,55000019
490628;3125843;13,97000027
490658;3125843;13,60000038
490688;3125843;13,64999962
490718;3125843;13,73999977
490748;3125843;13,84000015
490778;3125843;13,97000027
490808;3125843;14,52000046
490838;3125843;14,39999962
490868;3125843;14,17000008
490898;3125843;14,03999996
490928;3125843;13,76000023
490958;3125843;13,78999996
490988;3125843;13,93000031
491018;3125843;13,97999954
491048;3125843;13,93000031
491078;3125843;13,77000046
491108;3125843;13,64999962
491138;3125843;13,85000038
491168;3125843;14,43000031
